Best Overall Rating,Body Type,Club,Height,Height - Split 1,Height - Split 1 (bin),Joined,Kit Number,Loaned From,Name,Nationality,Position,Preferred Foot,Release Clause,Value (bin),Weight,Weight - Split 1,Weight - Split 1 (bin),Work Rate,Age,Contract Valid Until,International Reputation,Player Score Overall,Potential,Skill Moves,Special,Value,Wage,Weak Foot
,Unique,Manchester United,179cm,179,175,"Jan 30, 2020",8,,Bruno Fernandes,Portugal,Midfielder,Right,€155M,78,69kg,69,65,High/ High,27,2026,3,86,87,4,2305,78.5,190,3
,Stocky (170-185),Sevilla FC,172cm,172,170,"Sep 14, 2020",19,,M. Acuña,Argentina,Defender,Left,€97.7M,44,69kg,69,65,High/ High,30,2024,2,85,85,3,2303,46.5,46,3
,Unique,Manchester City,181cm,181,180,"Aug 30, 2015",17,,K. De Bruyne,Belgium,Midfielder,Right,€198.9M,104,70kg,70,70,High/ High,31,2025,4,91,91,4,2303,107.5,350,5
,Normal (170-),Inter,172cm,172,170,"Sep 1, 2020",23,,N. Barella,Italy,Midfielder,Right,€154.4M,87,68kg,68,65,High/ High,25,2026,3,86,89,3,2296,89.5,110,3
,Normal (170-185),FC Bayern München,177cm,177,175,"Jul 1, 2015",6,,J. Kimmich,Germany,Midfielder,Right,€182M,104,75kg,75,75,High/ Medium,27,2025,4,89,90,3,2283,105.5,130,4
,Normal (170-185),Real Madrid CF,180cm,180,180,"Jul 1, 2021",4,,D. Alaba,Austria,Defender,Left,€113.8M,52,78kg,78,75,Medium/ Medium,30,2026,4,86,86,3,2277,55.5,220,4
,Normal (170-185),Al Ahli,183cm,183,180,"Jul 22, 2021",15,,22 Paulinho,Brazil,Midfielder,Right,€48.5M,26,80kg,80,80,High/ High,32,2024,3,83,83,4,2273,28.5,61,4
,Unique,Manchester City,182cm,182,180,"Aug 7, 2019",7,,João Cancelo,Portugal,Defender,Right,€152.6M,78,74kg,74,70,High/ Medium,28,2027,3,88,88,4,2262,82.5,250,4
,Lean (185+),Roma,186cm,186,185,"Jul 1, 2017",7,,L. Pellegrini,Italy,Midfielder,Right,€97.6M,52,77kg,77,75,High/ High,26,2026,2,84,87,3,2258,55,95,4
,Lean (170-185),Real Madrid CF,172cm,172,170,"Aug 1, 2012",10,,L. Modrić,Croatia,Midfielder,Right,€59.5M,26,66kg,66,65,Medium/ Medium,36,2023,4,88,88,4,2257,29,230,4
,Normal (185+),Lazio,191cm,191,190,"Aug 6, 2015",21,,S. Milinković-Savić,Serbia,Midfielder,Right,€137.6M,70,76kg,76,75,High/ Medium,27,2024,3,86,87,4,2250,77.5,90,5
,Normal (185+),Real Sociedad,189cm,189,185,"Jul 12, 2018",8,,Merino,Spain,Midfielder,Left,€102.2M,44,83kg,83,80,High/ High,26,2025,1,83,86,3,2247,47,49,3
,Lean (170-185),Atlético de Madrid,184cm,184,180,"Jul 1, 2019",14,,Marcos Llorente,Spain,Midfielder,Right,€102M,44,74kg,74,70,High/ Medium,27,2027,3,84,85,3,2244,48,81,4
,Unique,FC Barcelona,180cm,180,180,"Jul 1, 2019",21,,F. de Jong,Netherlands,Midfielder,Right,€247.6M,113,74kg,74,70,High/ Medium,25,2026,3,87,92,4,2238,116.5,230,3
,Unique,Atlético de Madrid,176cm,176,175,,8,"<a href=""/team/241/fc-barcelona/"">FC Barcelona</a>",A. Griezmann,France,Forward,Left,,26,73kg,73,70,Medium/ Medium,31,,4,83,83,4,2235,30.5,185,3
,Lean (170-185),Juventus,179cm,179,175,"Jul 1, 2017",11,,J. Cuadrado,Colombia,Defender,Right,€23M,9,72kg,72,70,High/ Medium,34,2023,3,83,83,5,2234,13.5,120,3
,Normal (170-185),Eintracht Frankfurt,184cm,184,180,"May 17, 2019",10,,F. Kostić,Serbia,Midfielder,Left,€90.1M,52,84kg,84,80,High/ High,29,2023,3,85,85,3,2234,53,56,2
,Unique,Liverpool,180cm,180,180,"Oct 7, 2015",66,,T. Alexander-Arnold,England,Defender,Right,€193.5M,96,69kg,69,65,High/ Medium,23,2025,3,87,90,3,2234,100.5,150,4
,Unique,Club Nacional de Football,182cm,182,180,"Jul 28, 2022",9,,L. Suárez,Uruguay,Forward,Right,€39.6M,17,86kg,86,85,High/ Medium,35,2022,4,84,84,3,2231,18,1,4
,Lean (170-185),Paris Saint-Germain,181cm,181,180,"Jul 6, 2021",2,,A. Hakimi,Morocco,Defender,Right,€103M,52,73kg,73,70,High/ Medium,23,2026,2,84,87,4,2229,53.5,90,4
,Lean (170-185),Inter,181cm,181,180,"Jul 1, 2016",77,,M. Brozović,Croatia,Midfielder,Right,€95.7M,52,68kg,68,65,Medium/ Medium,29,2026,3,86,86,3,2227,58,110,4
,Unique,Liverpool,175cm,175,175,"Jul 1, 2017",11,,M. Salah,Egypt,Forward,Left,€213.7M,113,71kg,71,70,High/ Medium,30,2023,4,90,90,4,2226,115.5,270,3
,Unique,AC Milan,181cm,181,180,"Jul 8, 2021",8,,S. Tonali,Italy,Midfielder,Right,€118.8M,61,79kg,79,75,Medium/ High,22,2026,1,84,90,3,2225,62.5,75,4
,Normal (170-185),Liverpool,174cm,174,170,"Sep 18, 2020",6,,Thiago,Spain,Midfielder,Right,€102.7M,52,70kg,70,70,Medium/ Medium,31,2024,3,86,86,5,2225,55.5,180,3
,Stocky (170-185),Chelsea,178cm,178,175,"Mar 3, 2017",24,,R. James,England,Defender,Right,€109.7M,52,87kg,87,85,High/ Medium,22,2025,2,84,88,3,2225,57,120,3
,Unique,FC Barcelona,170cm,170,170,"Jul 1, 2012",18,,Jordi Alba,Spain,Defender,Left,€57.4M,26,68kg,68,65,High/ Medium,33,2024,3,85,85,3,2218,28,190,3
,Lean (170-185),Real Betis Balompié,176cm,176,175,"Jul 3, 2018",10,,Canales,Spain,Midfielder,Left,€73.5M,35,65kg,65,65,High/ Medium,31,2026,2,84,84,4,2213,35,42,3
